Frame,Visibility,X,Y
0,1,1340,578
1,1,1323,526
2,1,1352,576
3,1,1385,591
4,1,1384,600
5,1,1368,620
6,1,1350,649
7,1,1327,670
8,1,1240,696
9,1,1165,670
10,1,1090,651
11,1,1015,633
12,1,941,622
13,1,866,618
14,1,791,614
15,1,716,625
16,1,641,633
17,1,573,648
18,1,498,675
19,1,427,701
20,1,418,713
21,1,413,711
22,1,411,716
23,1,409,635
24,1,407,604
25,1,422,567
26,1,420,556
27,1,413,567
28,1,427,592
29,1,555,581
30,1,671,573
31,1,772,577
32,1,866,581
33,1,948,592
34,1,1027,607
35,1,1095,625
36,1,1157,648
37,1,1215,648
38,1,1267,618
39,1,1269,599
40,1,1253,585
41,1,1204,571
42,1,1142,570
43,1,1053,573
44,1,960,585
45,1,866,600
46,1,776,618
47,1,682,644
48,1,588,675
49,1,498,712
50,1,412,697
51,1,322,678
52,1,354,660
53,1,330,628
54,1,330,599
55,1,330,583
56,1,332,559
57,1,361,555
58,1,355,581
59,1,483,566
60,1,596,561
61,1,697,561
62,1,795,566
63,1,881,577
64,1,962,592
65,1,1037,611
66,1,1110,630
67,1,1172,656
68,1,1218,653
69,1,1245,622
70,1,1246,595
71,1,1226,579
72,1,1188,577
73,1,1097,581
74,1,1012,592
75,1,922,607
76,1,832,630
77,1,742,659
78,1,656,690
79,1,570,692
80,1,487,675
81,1,401,659
82,1,315,652
83,1,346,648
84,1,315,629
85,1,310,607
86,1,298,602
87,1,296,579
88,1,322,577
89,1,296,600
90,1,427,581
91,1,543,570
92,1,660,566
93,1,765,570
94,1,858,577
95,1,952,587
96,1,1035,607
97,1,1112,630
98,1,1188,652
99,1,1252,659
100,1,1284,645
101,1,1305,621
102,1,1276,596
103,1,1241,585
104,1,1147,581
105,1,1053,585
106,1,956,592
107,1,855,607
108,1,757,630
109,1,663,656
110,1,566,685
111,1,468,722
112,1,386,712
113,1,300,692
114,1,213,675
115,1,283,662
116,1,284,628
117,1,315,606
118,1,322,586
119,1,339,572
120,1,333,603
121,1,476,592
122,1,600,592
123,1,716,592
124,1,817,600
125,1,911,614
126,1,992,630
127,1,1068,648
128,1,1140,648
129,1,1206,618
130,1,1229,604
131,1,1235,590
132,1,1205,579
133,1,1165,585
134,1,1068,592
135,1,975,607
136,1,881,630
137,1,802,630
138,1,727,637
139,1,648,648
140,1,570,662
141,1,491,685
142,1,412,712
143,1,330,705
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
